,job_title,company_name,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,sub_category,role,scrapped_date,district,city,province
49,EPM Applications Developer,Dot Indonesia,-,"IBM SPSS,Oracle Database,SAP,Business Intelligence,Microsoft Excel",https://glints.com/id/opportunities/jobs/epm-applications-developer/ce8a80b2-1f2b-40e6-9b33-f57e0cf27bff?utm_referrer=explore,ce8a80b2-1f2b-40e6-9b33-f57e0cf27bff,contract,onsite,1-3,Sarjana,"Operation, Maintenance & Technical Support",Application Developer,4/3/2024,Cilandak, Jakarta Selatan, DKI Jakarta
50,Developer,PT Digital Fajar Buana,Rp5jt-Rp7jt,"CSS3,HTML5,Node.js,JavaScript",https://glints.com/id/opportunities/jobs/developer/601fe057-8163-4ddb-8eff-e1f5d5b05ba0?utm_referrer=explore,601fe057-8163-4ddb-8eff-e1f5d5b05ba0,full_time,onsite,3-5,Sarjana,Backend Development,Node.js Developer,4/3/2024,Kemantren Gedongtengen, Yogyakarta, DI Yogyakarta
51,SAP FICO,Sari Murni Group,-,"IT Project Management,SAP,Interpersonal Skills",https://glints.com/id/opportunities/jobs/sap-fico/77d1016a-2ff3-46b1-a1c7-45952387aa8d?utm_referrer=explore,77d1016a-2ff3-46b1-a1c7-45952387aa8d,full_time,onsite,3-5,Sarjana,Other Computer & Information Technology,Information Technology Staff,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
52,Virtual WordPress Web Developer/Designer/Elementor Internship,GAO Tek inc.,-,"Web Design,Web Development,English Languange,WordPress Development",https://glints.com/id/opportunities/jobs/virtual-wordpress-web-developer-designer-elementor-internship/cb459440-9100-40c9-b701-b7dc78961f47?utm_referrer=explore,cb459440-9100-40c9-b701-b7dc78961f47,internship,remote,<1,Diploma,Software,Web Developer,4/3/2024,Pekanbaru Kota, Pekanbaru, Riau
53,Software Developer,Studycle,-,"Back-End Web Development,JavaScript,Python",https://glints.com/id/opportunities/jobs/software-developer/72ed9b36-73b1-451c-b4dd-4e40de6907a5?utm_referrer=explore,72ed9b36-73b1-451c-b4dd-4e40de6907a5,contract,onsite,1-3,Sarjana,Software,Software Developer,4/3/2024,Kapanewon Ngaglik, Sleman, DI Yogyakarta
54,Middle Security Analyst,Pt Platinumetrix Global Inovasi,Rp100rb,"Firewall,Fortinate,Cybersecurity",https://glints.com/id/opportunities/jobs/middle-security-analyst/a46f527b-8c72-4256-9f41-011b81fb5684?utm_referrer=explore,a46f527b-8c72-4256-9f41-011b81fb5684,full_time,onsite,3-5,Sarjana,Cyber Security,Security Analyst,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
55,GenAI Developer,Jitera,-,"React.js,JavaScript,Generative Ai,NestJS",https://glints.com/id/opportunities/jobs/genai-developer/402bd9ba-99eb-47da-9343-6c3d0a211f8c?utm_referrer=explore,402bd9ba-99eb-47da-9343-6c3d0a211f8c,full_time,remote,3-5,Sarjana,Artificial Intelligence,AI Engineer,4/3/2024,Pancoran, Jakarta Selatan, DKI Jakarta
56,Azure System Administrator / DevOps JOG (Middle-Senior Level),Meda,Rp5jt-Rp15jt,"SQL,Azure,Linux System Administration,Power BI,PowerShell,MySQL,Bash,Windows Server Administration,Microsoft Azure,VMware,Microsoft SQL Server,PostgreSQL,Statistical Data Analysis,Redis,Kubernetes,CI/CD",https://glints.com/id/opportunities/jobs/azure-system-administrator-devops-jog-middle-senior-level/a1ea64e0-c23e-4257-a5dd-a2ed06aa816c?utm_referrer=explore,a1ea64e0-c23e-4257-a5dd-a2ed06aa816c,full_time,onsite,3-5,Sarjana,"Network, System & Database Admin",System Administrator,4/3/2024,Kemantren Gondokusuman, Yogyakarta, DI Yogyakarta
57,Sourcing Virtual Internship,GAO Tek inc.,-,"Microsoft Excel,Multitasking,Attention to Detail,English Languange,Microsoft Word,Web Analytics",https://glints.com/id/opportunities/jobs/sourcing-virtual-internship/5c93af65-4a45-4f14-b4f3-80c8842e69da?utm_referrer=explore,5c93af65-4a45-4f14-b4f3-80c8842e69da,internship,remote,<1,Diploma,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Pekanbaru Kota, Pekanbaru, Riau
58,IT Development Manager,PT Ruang Maha Karya,Rp10jt-Rp20jt,"Internal Communications,Leadership Development,Software Development",https://glints.com/id/opportunities/jobs/it-development-manager/1d078edd-07c9-4679-93a6-23a43da0911e?utm_referrer=explore,1d078edd-07c9-4679-93a6-23a43da0911e,contract,onsite,3-5,Sarjana,Software,Developer,4/3/2024,Tanah Abang, Jakarta Pusat, DKI Jakarta
59,IT Support,Linksfield,Rp8jt-Rp10jt,"Blockchain,Microsoft Office,HRIS Database Management,Cybersecurity",https://glints.com/id/opportunities/jobs/it-support/6a802156-2a65-4b7d-a4d8-bc9340bec070?utm_referrer=explore,6a802156-2a65-4b7d-a4d8-bc9340bec070,full_time,onsite,1-3,Diploma,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Tanah Abang, Jakarta Pusat, DKI Jakarta
60,Digital Strategic Specialist,PT Sigma Global Teknologi,"Rp9,5jt-Rp11jt","Marketing Communications,Business Strategy,Digital Marketing",https://glints.com/id/opportunities/jobs/digital-strategic-specialist/2179d01d-0db6-4b0f-8598-ddcc47f956c3?utm_referrer=explore,2179d01d-0db6-4b0f-8598-ddcc47f956c3,contract,onsite,3-5,Sarjana,Other Computer & Information Technology,Digital Marketing,4/3/2024,Senen, Jakarta Pusat, DKI Jakarta
61,Data Engineer,PT Global Urban Esensial,-,"Hive,Data Engineering,IT Infrastructure Management,Hadoop,Analytical Skills,SQL,Cloud Computing,Data Analytics,Business Analysis",https://glints.com/id/opportunities/jobs/data-engineer/e9abeec1-ced3-44c0-af83-9757c3d7f934?utm_referrer=explore,e9abeec1-ced3-44c0-af83-9757c3d7f934,full_time,onsite,3-5,Sarjana,Data,Data Engineer,4/3/2024,Pondok Aren, Tangerang Selatan, Banten
62,⁠Full Stack - Java Programmer (JP),PT. Sirius Indonesia,-,"Attention to Detail,R Programming,Positive Attitude,Strong Communication Skills",https://glints.com/id/opportunities/jobs/full-stack-java-programmer-jp/e3de4a72-643b-497a-b7c8-38ee7920070e?utm_referrer=explore,e3de4a72-643b-497a-b7c8-38ee7920070e,full_time,onsite,1-3,Sarjana,Full Stack Development,Java Developer,4/3/2024,Regol, Bandung, Jawa Barat
